iter	Accuracy	MultiClass
0	0.3357714893	3.018394008
1	0.3590832796	2.886032627
2	0.368253437	2.794632258
3	0.37407154	2.718263674
4	0.3853533439	2.645630099
5	0.4107324805	2.574926006
6	0.419400568	2.516931135
7	0.4245049444	2.463931393
8	0.4247559793	2.412932098
9	0.4331681097	2.357770466
10	0.445975812	2.309717007
11	0.4519317382	2.271494248
12	0.4602700348	2.229011678
13	0.4619583676	2.193462893
14	0.4630707968	2.159151264
15	0.4607967159	2.130003409
16	0.4663933175	2.097062886
17	0.4704640208	2.061353755
18	0.4793289985	2.03539724
19	0.4803232936	2.006430717
20	0.4838033265	1.980033735
21	0.4894442284	1.954323865
22	0.4987472866	1.924605556
23	0.5006571208	1.899629597
24	0.5025324992	1.879228135
25	0.507548275	1.856513904
26	0.5130562761	1.833904685
27	0.5134894344	1.813392615
28	0.5181163522	1.791562582
29	0.520661157	1.775038678
30	0.5228810931	1.755862892
31	0.5252683858	1.739209639
32	0.5283349495	1.721258092
33	0.5329224893	1.703034736
34	0.533695283	1.688256779
35	0.5363434551	1.674225651
36	0.5447900413	1.66123911
37	0.5490379456	1.646961615
38	0.5496138493	1.635021585
39	0.5523604664	1.619713597
40	0.5535073514	1.607694343
41	0.5539946544	1.595626377
42	0.5593992882	1.586240642
43	0.5628054873	1.57498401
44	0.5654536594	1.564489695
45	0.5682544214	1.553797748
46	0.572019945	1.541063822
47	0.5732751195	1.532432404
48	0.5771686216	1.524591462
49	0.5808849226	1.512914
50	0.5831442368	1.502312021
51	0.5860385216	1.492256307
52	0.5866242697	1.483766963
53	0.5899074124	1.476249455
54	0.5912511875	1.468829182
55	0.592038748	1.46171316
56	0.5942537618	1.455139803
57	0.5952628237	1.448385076
58	0.5966164433	1.441858798
59	0.6004656451	1.432539854
60	0.6039013777	1.422548493
61	0.6059391905	1.412964094
62	0.6073371103	1.406531748
63	0.6102461619	1.401564577
64	0.6113487465	1.394749702
65	0.6133127255	1.387391541
66	0.6151388814	1.381527412
67	0.6157984633	1.37487593
68	0.6155474284	1.369322818
69	0.6172997504	1.360794892
70	0.6196328984	1.353796628
71	0.6210111292	1.345504859
72	0.6206124267	1.342817289
73	0.6216017996	1.337953589
74	0.6221875477	1.330758141
75	0.6238709582	1.325858958
76	0.624702819	1.320440443
77	0.6281483961	1.313721849
78	0.6302748094	1.307077886
79	0.6296989058	1.301821282
80	0.6302058978	1.296072737
81	0.6325931906	1.287322418
82	0.6356252984	1.282032596
83	0.6351232286	1.279386614
84	0.6359403226	1.274567909
85	0.6377320227	1.266612774
86	0.6396320124	1.258609301
87	0.6417436589	1.25258615
88	0.643067745	1.249062028
89	0.643924217	1.244953266
90	0.6448594451	1.241275886
91	0.6467791237	1.23679765
92	0.6485511348	1.232800841
93	0.6507809154	1.226821886
94	0.6515340202	1.221940534
95	0.6536752002	1.215711479
96	0.6541083585	1.213236205
97	0.6546694953	1.209617204
98	0.6571010883	1.202514179
99	0.6586417535	1.19798031
100	0.6591438233	1.193648824
101	0.6603645421	1.189302144
102	0.6616246388	1.18630507
103	0.6636969073	1.179878841
104	0.6649373151	1.175807222
105	0.6647305805	1.172745017
106	0.6664041465	1.16968195
107	0.6671375622	1.165724243
108	0.6693033535	1.162236048
109	0.6713805443	1.157298071
110	0.6714051556	1.153951199
111	0.6732756117	1.1483909
112	0.6755300036	1.14554165
113	0.6755152368	1.141441412
114	0.6753331135	1.139549789
115	0.6761354407	1.136522997
116	0.6771051246	1.132877346
117	0.6782126315	1.130092907
118	0.6786753233	1.127736865
119	0.6800732431	1.123383047
120	0.6800978544	1.119791568
121	0.6804325676	1.116856452
122	0.6814170182	1.112082161
123	0.6818550987	1.108716023
124	0.6829675279	1.105383379
125	0.6854286544	1.099834382
126	0.688396773	1.09375516
127	0.6885641296	1.091944691
128	0.6886527301	1.087849232
129	0.6899128269	1.084137581
130	0.6907840657	1.081262339
131	0.6914387253	1.078602187
132	0.6925068542	1.076526998
133	0.6931516694	1.071749327
134	0.6942296428	1.067621105
135	0.694155809	1.065833674
136	0.6956374072	1.059898063
137	0.6975816971	1.055989469
138	0.6995850541	1.051908181
139	0.7000329791	1.048942979
140	0.7021200144	1.044722212
141	0.7039707815	1.041981648
142	0.7048666316	1.039848372
143	0.7062497847	1.037465164
144	0.7069881226	1.03420268
145	0.7087059889	1.030750923
146	0.7098873296	1.026038391
147	0.7107585684	1.020873601
148	0.7108520912	1.018281357
149	0.7122204776	1.014259447
150	0.7125108905	1.011964326
151	0.7131064831	1.010237235
152	0.7136331642	1.006944616
153	0.7142976683	1.004839506
154	0.7150556953	1.002309559
155	0.7161878135	1.000544629
156	0.7167587948	0.9992891838
157	0.7178367682	0.9958436336
158	0.7178072347	0.9930654392
159	0.7186981625	0.9912717908
160	0.7191116318	0.9886004196
161	0.7197515247	0.9856761839
162	0.719874581	0.983683608
163	0.7208984096	0.9802666323
164	0.7226851875	0.9777744671
165	0.7248312898	0.9753691589
166	0.7267854242	0.97114047
167	0.7260126305	0.9696043372
168	0.7271742822	0.9671647412
169	0.7275040732	0.9651815359
170	0.7295812639	0.961697476
171	0.7296501755	0.9598023524
172	0.7298962881	0.9582849669
173	0.7306395483	0.9538353304
174	0.7309496503	0.9527418495
175	0.7330809858	0.9495381814
176	0.7341097367	0.9463211588
177	0.7346807181	0.9450406816
178	0.7356307129	0.9428004245
179	0.7362016942	0.9415136514
180	0.7367283753	0.9390528519
181	0.7368957319	0.9362328419
182	0.7378604935	0.9342831077
183	0.7395192928	0.9309260379
184	0.7406415665	0.928090715
185	0.740262553	0.9264420209
186	0.7411042582	0.9244270296
187	0.74191643	0.9222510523
188	0.7426400012	0.9193525087
189	0.7419459635	0.9176518184
190	0.7420444086	0.9154677684
191	0.7430091702	0.9134195817
192	0.7427975133	0.9122994006
193	0.7442545002	0.9107220183
194	0.7445941356	0.9090195862
195	0.7450863609	0.9072316516
