iter	Passed	Remaining
0	201	19935
1	269	13188
2	338	10953
3	409	9823
4	479	9116
5	550	8630
6	624	8298
7	696	8011
8	770	7794
9	846	7620
10	915	7410
11	990	7263
12	1059	7088
13	1134	6967
14	1204	6825
15	1279	6717
16	1348	6583
17	1422	6478
18	1495	6374
19	1566	6267
20	1639	6168
21	1711	6066
22	1786	5981
23	1855	5874
24	1927	5782
25	1994	5675
26	2064	5583
27	2137	5496
28	2206	5402
29	2276	5312
30	2345	5219
31	2422	5147
32	2497	5070
33	2572	4994
34	2642	4907
35	2711	4820
36	2778	4730
37	2847	4646
38	2915	4560
39	2983	4475
40	3054	4394
41	3122	4312
42	3190	4229
43	3257	4146
44	3330	4070
45	3400	3991
46	3473	3916
47	3542	3837
48	3613	3760
49	3683	3683
50	3758	3611
51	3826	3531
52	3895	3454
53	3965	3377
54	4039	3305
55	4108	3228
56	4175	3150
57	4247	3075
58	4316	2999
59	4393	2929
60	4470	2858
61	4544	2785
62	4613	2709
63	4686	2636
64	4755	2560
65	4824	2485
66	4894	2410
67	4965	2336
68	5033	2261
69	5103	2187
70	5200	2124
71	5279	2053
72	5351	1979
73	5420	1904
74	5498	1832
75	5564	1757
76	5635	1683
77	5705	1609
78	5774	1535
79	5846	1461
80	5916	1387
81	5988	1314
82	6063	1241
83	6139	1169
84	6212	1096
85	6284	1022
86	6353	949
87	6425	876
88	6494	802
89	6569	729
90	6642	656
91	6715	583
92	6793	511
93	6860	437
94	6934	364
95	7003	291
96	7076	218
97	7145	145
98	7217	72
99	7287	0
